CONTENT,CLASS
"Huh, anyway check out this you[tube] channel: kobyoshi02",spam
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",spam
just for test I have to say murdev.com,spam
me shaking my sexy ass on my channel enjoy ^_^ ﻿,spam
watch?v=vtaRGgvGtWQ   Check this out .﻿,spam
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",spam
Subscribe to my channel ﻿,spam
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,not spam
You should check my channel for Funny VIDEOS!!﻿,spam
and u should.d check my channel and tell me what I should do next!﻿,spam
Hey subscribe to me﻿,spam
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,spam
https://twitter.com/GBphotographyGB﻿,spam
subscribe like comment﻿,spam
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,spam
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",spam
I'm only checking the views﻿,not spam
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,spam
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,spam
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",spam
i think about 100 millions of the views come from people who only wanted to  check the views﻿,not spam
subscribe to my channel people :D﻿,spam
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,spam
just checking the views﻿,not spam
CHECK OUT MY CHANNEL,spam
marketglory . com/strategygame/andrijamatf earn real money from game,spam
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,spam
Check me out! I'm kyle. I rap so yeah ﻿,spam
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,not spam
"Subscribe to me for free Android games, apps.. ﻿",spam
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,spam
"Came here to check the views, goodbye.﻿",not spam
sub my channel for no reason -_-﻿,spam
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",spam
2 billion....Coming soon﻿,not spam
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,not spam
Check my channel please! And listen to the best music ever :P﻿,spam
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,spam
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",spam
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",spam
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,spam
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,spam
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,spam
http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,spam
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",spam
....subscribe......  ......to my........  .....channel.......﻿,spam
"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",not spam
http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,spam
go here to check the views :3﻿,not spam
thumbs up if u checked this video to see hw views it got﻿,not spam
Plz subscribe to my channel and I will subscribe back xx﻿,spam
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,not spam
This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,not spam
https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,spam
get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,spam
Pls follow this channel!! http://www.twitch.tv/sevadus﻿,spam
hi guys check my youtube channel﻿,spam
Subscribe and like to me for more how to videos on minecraft!﻿,spam
http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,spam
Subscribe ME!﻿,spam
Im just to check how much views it has﻿,not spam
The first comment is chuck norrus ovbiously :D﻿,not spam
Behold the most viewed youtube video in the history of ever﻿,not spam
when is this gonna hit 2 billion?﻿,not spam
the most viewed youtube video of all time?﻿,not spam
"969,210 dislikes like dislike themselves﻿",not spam
psy=korean﻿,not spam
"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",not spam
"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",not spam
It's been back for quite a while now.,not spam
2 Billions in 2014,not spam
plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,spam
Sub my channel!﻿,spam
http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,spam
http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,spam
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",spam
http://hackfbaccountlive.com/?ref=4604617﻿,spam
"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",spam
-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,spam
